section id,recording id,recording name,wearer id,wearer name,section start time [ns],section end time [ns],start event name,end event name
6678d8a8-04ed-4d97-9479-ee2aec442a8f,d5e23ef1-dd90-4d9e-8e8d-61639c6d37e7,group4_B4_LeadFollow,862416e5-b9d6-4a93-8e32-c8b62c26c19d,B4,1698839942005000000,1698840071342000000,recording.begin,recording.end
aae7dd86-fe39-4157-af46-e68cfb4cf9d9,49441edf-47ad-43e4-b0c0-50d520ddcc2e,group4_A4_Custom,624f2cf7-5f77-486c-a792-e9515a5734aa,A4,1698840753448000000,1698840817387000000,recording.begin,recording.end
9edc61a7-d70b-4613-923e-56d0a6d72a73,dccb3888-4ce8-4d4e-abcd-36c282a5483a,group4_B4_FollowLead,862416e5-b9d6-4a93-8e32-c8b62c26c19d,B4,1698840550119000000,1698840622746000000,recording.begin,recording.end
82069718-2b05-4eae-bcd7-dc26bdadaa6b,315e1482-1d57-4aa7-8fff-76c9d8b22bea,group4_B4_JointLead,862416e5-b9d6-4a93-8e32-c8b62c26c19d,B4,1698840271109000000,1698840328917000000,recording.begin,recording.end
1689436e-4a10-4ee3-b3c0-19b909d60989,dd9bbd76-acbf-45e5-ab6d-6328a07a249c,group4_A4_JointLead,624f2cf7-5f77-486c-a792-e9515a5734aa,A4,1698840260629000000,1698840329025000000,recording.begin,recording.end
9dd1b303-ee3e-48ea-b422-18db3c3e0b83,86264dbf-86be-4f8c-9fa0-29e6e64a33b5,group12_B12_JointLead,a8b2e152-b9c8-4942-9010-65da35ea26ab,B12,1698843926362000000,1698844001432000000,recording.begin,recording.end
df868998-78fe-4ddb-9f89-a0b92152bc8d,2e39bcbd-05ab-4ab4-ae52-a02af8274524,group4_B4_Custom,862416e5-b9d6-4a93-8e32-c8b62c26c19d,B4,1698840758498000000,1698840823721000000,recording.begin,recording.end
ca37fccd-49f2-4c6e-83bd-642077c97671,dec1d5c5-c3c5-4b25-a146-f3c1964351fc,group4_A4_FollowLead,624f2cf7-5f77-486c-a792-e9515a5734aa,A4,1698840539643000000,1698840616547000000,recording.begin,recording.end
ae5fc45c-9d79-43b9-9a39-8c47640121b9,b51511cc-3698-4cb7-ad75-e85d539610a2,group12_A12_JointLead,f2498180-2596-4a3b-977a-2d753c9ed481,A12,1698843948800000000,1698844012028000000,recording.begin,recording.end
a0a28bb4-64bd-4990-9101-cfe49a288f30,02016223-e450-4512-9275-5864281298d9,group12_B12_FollowLead,a8b2e152-b9c8-4942-9010-65da35ea26ab,B12,1698844141348000000,1698844192060000000,recording.begin,recording.end
44428fee-4a99-4d31-8f7f-e979a9b3df3f,799d82fb-f70a-4e7a-a64b-a5a0034c1c55,group12_A12_FollowLead,f2498180-2596-4a3b-977a-2d753c9ed481,A12,1698844141720000000,1698844192699000000,recording.begin,recording.end
67dd8a89-996a-4f9c-a3c1-c0d35f264d11,692565c0-1fec-4e44-859e-1e2af1286083,group12_A12_LeadFollow,f2498180-2596-4a3b-977a-2d753c9ed481,A12,1698843530604000000,1698843627319000000,recording.begin,recording.end
27885338-a806-4358-899a-0164f9a6363c,91d0b924-4ea9-45af-99f6-b12eade4b595,group12_B12_LeadFollow,a8b2e152-b9c8-4942-9010-65da35ea26ab,B12,1698843530489000000,1698843625819000000,recording.begin,recording.end
6a14019a-8d7f-4b07-aca6-c03b7a5828d0,8fd6ac83-c314-4b2a-b252-1e4c4dcdda56,group12_A12_Custom,f2498180-2596-4a3b-977a-2d753c9ed481,A12,1698844460199000000,1698844512568000000,recording.begin,recording.end
be507093-20ac-4ac7-8143-a760889b6931,0af2d7dc-e55b-4bfc-9e47-f88c7f078830,group12_B12_Custom,a8b2e152-b9c8-4942-9010-65da35ea26ab,B12,1698844458136000000,1698844513344000000,recording.begin,recording.end
2431044e-dbda-46de-bb05-970815b88d55,4da0aec1-428a-4999-ae06-a98a8451ab71,group6_B6_LeadFollow,46ef711a-97da-41ce-9092-2594900342f8,B6,1698848315751000000,1698848407359000000,recording.begin,recording.end
a54e2e1d-e764-4077-b008-333df65d54f5,9dc411a8-0403-4ecb-8f0d-a45637989102,group6_A6_Custom,46ef711a-97da-41ce-9092-2594900342f8,B6,1698849003420000000,1698849075745000000,recording.begin,recording.end
68a6bfe7-9eb9-4bc1-9d58-b942a2cddcfc,a135777a-9f71-445c-909d-5ea1f0f28ed5,group6_A6_LeadFollow,54a6284c-b1da-4dfd-98ff-3e53882636c0,A6,1698848312248000000,1698848408321000000,recording.begin,recording.end
418ccde4-68ea-4df1-be90-abdbec4a80f1,940e10d8-0b8a-46d7-9ada-9afb7c05c578,group6_B6_JointLead,46ef711a-97da-41ce-9092-2594900342f8,B6,1698848647267000000,1698848706658000000,recording.begin,recording.end
61ffac3d-4c50-4265-95d0-18e77bfbc1f7,ca8d67f3-f860-497c-8df7-ddc1cbc5936f,group6_A6_FollowLead,54a6284c-b1da-4dfd-98ff-3e53882636c0,A6,1698848832490000000,1698848893109000000,recording.begin,recording.end
cece2835-751c-49be-b3d3-320e0bbe32f4,dacaf786-a32f-46ae-afcc-e2c04bfa20d0,group6_A6_JointLead,54a6284c-b1da-4dfd-98ff-3e53882636c0,A6,1698848644793000000,1698848707119000000,recording.begin,recording.end
321ff25e-f18d-40dd-a270-e721211471b1,5c26b4bd-c697-4cf8-85c7-0346039021e7,group6_B6_FollowLead,46ef711a-97da-41ce-9092-2594900342f8,B6,1698848837181000000,1698848889373000000,recording.begin,recording.end
139630b0-8442-4fa2-ab8d-f2a5704086bf,376d2779-0bdb-47b9-936f-efb7d04f20ed,group6_B6_Custom,54a6284c-b1da-4dfd-98ff-3e53882636c0,A6,1698849004698000000,1698849076865000000,recording.begin,recording.end
f8f6a341-8901-409c-ba40-59916c69282f,b584196d-12e0-434c-ab02-ddec5ea48f44,group7_B7_Custom,d8020253-8c70-4f68-9f69-714593de3c9c,B7,1698996406970000000,1698996471530000000,recording.begin,recording.end
80e7dda2-f720-45c4-9aac-f5aa8391d163,1ae4c006-36e4-43b0-8d4e-95dd2acd8606,group7_B7_JointLead,d8020253-8c70-4f68-9f69-714593de3c9c,B7,1698995936094000000,1698996000305000000,recording.begin,recording.end
2330d816-f08c-41e8-9761-dec935df7106,0a9e13af-68d3-4521-856f-adc9409f4428,group7_B7_FollowLead,d8020253-8c70-4f68-9f69-714593de3c9c,B7,1698996197214000000,1698996267087000000,recording.begin,recording.end
fc27cce8-5ff1-4290-9294-c0806f8cb992,500c8bc8-57a4-4176-804e-e892c5c8cdb1,group7_B7_LeadFollow,d8020253-8c70-4f68-9f69-714593de3c9c,B7,1698995524694000000,1698995686490000000,recording.begin,recording.end
05c3c3ce-8119-428e-9791-1b04aa9fb257,819bc7ea-f5d8-4571-bc3c-6eb7bde30345,group7_A7_Custom,88166d54-d27a-411e-bd12-a546526d4c3d,A7,1698996407642000000,1698996467701000000,recording.begin,recording.end
0756456f-54f3-4ba8-93e0-ebc76d6c5628,8cca4bc8-ce39-4cc8-a9cc-43b8c5e7148f,group7_A7_JointLead,88166d54-d27a-411e-bd12-a546526d4c3d,A7,1698995935953000000,1698996002899000000,recording.begin,recording.end
1bc18749-c726-482d-9633-f65648241e60,869fef43-356c-456d-82eb-a726004e804c,group7_A7_LeadFollow,88166d54-d27a-411e-bd12-a546526d4c3d,A7,1698995525151000000,1698995680705000000,recording.begin,recording.end
cb6176c6-4913-4c8e-935a-be716554c602,d6862f9f-3490-4aba-8bac-48a665041554,group7_A7_FollowLead,88166d54-d27a-411e-bd12-a546526d4c3d,A7,1698996200043000000,1698996257151000000,recording.begin,recording.end
e84e008f-52b8-4ff0-84f5-14bbfeb35faa,0ebdf42f-4fd0-4dd5-adeb-9b6ec115d6d1,group8_A8_JointLead,cab00e43-0718-4d56-a57c-7df8cde418d3,A8,1698999284826000000,1698999369099000000,recording.begin,recording.end
de72232e-344d-483f-93fa-9b6c6a8470fd,5d588e73-a0ad-4ef3-bfba-76353b87d2d8,group8_A8_LeadFollow,cab00e43-0718-4d56-a57c-7df8cde418d3,A8,1698999030124000000,1698999134750000000,recording.begin,recording.end
2c9be411-6534-4cb8-91ce-2545657162c3,26249e15-7ffc-4f27-846b-aa69b14bc9c6,group8_B8_LeadFollow,0455a0b6-cd08-4c56-a86b-ffdaed56f233,B8,1698999028167000000,1698999134833000000,recording.begin,recording.end
bc65e7b0-689c-4cac-8a3d-a1016cd06b68,bcd5ee28-f4a4-4c72-898b-24046294971b,group8_B8_FollowLead,0455a0b6-cd08-4c56-a86b-ffdaed56f233,B8,1698999624986000000,1698999687725000000,recording.begin,recording.end
3b8eb2bd-ed56-4bf4-b7a2-5dadbddecfc3,e3ebe1d9-b1aa-4dcb-9085-bae2aaa921fc,group8_B8_JointLead,0455a0b6-cd08-4c56-a86b-ffdaed56f233,B8,1698999284698000000,1698999370876000000,recording.begin,recording.end
b6a03dc0-e362-4aff-9c77-c10f981174f4,c1297c92-2375-45d4-86c0-61209ca76673,group8_A8_FollowLead,cab00e43-0718-4d56-a57c-7df8cde418d3,A8,1698999617940000000,1698999682229000000,recording.begin,recording.end
7e33c0de-bf88-40dd-9322-fcc2f66378a2,5b598584-b170-4ae3-81f5-0da6cf11d451,group8_A8_Custom_Feet_JointLead,cab00e43-0718-4d56-a57c-7df8cde418d3,A8,1698999809188000000,1698999869957000000,recording.begin,recording.end
de4849ef-f4f7-4861-b1b6-ce755e6d30e4,dbb9fa81-5ba3-4b8e-80fa-615cfba51b87,group8_B8_Custom_Feet_JointLead,0455a0b6-cd08-4c56-a86b-ffdaed56f233,B8,1698999808670000000,1698999873480000000,recording.begin,recording.end
