NO_OF_FRAMES	23509
NO_OF_CAMERAS	9
NO_OF_MARKERS	0
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-11-03, 08:13:12.823	321964.51460860
DATA_INCLUDED	3D
MARKER_NAMES
TRAJECTORY_TYPES
Frame	Time	
1371	4.56667	
1372	4.57000	
1373	4.57333	
1374	4.57667	
1375	4.58000	
1376	4.58333	
1377	4.58667	
1378	4.59000	
1379	4.59333	
1380	4.59667	
1381	4.60000	
1382	4.60333	
1383	4.60667	
1384	4.61000	
1385	4.61333	
1386	4.61667	
1387	4.62000	
1388	4.62333	
1389	4.62667	
1390	4.63000	
1391	4.63333	
1392	4.63667	
1393	4.64000	
1394	4.64333	
1395	4.64667	
1396	4.65000	
1397	4.65333	
1398	4.65667	
1399	4.66000	
1400	4.66333	
1401	4.66667	
1402	4.67000	
1403	4.67333	
1404	4.67667	
1405	4.68000	
1406	4.68333	
1407	4.68667	
1408	4.69000	
1409	4.69333	
1410	4.69667	
1411	4.70000	
1412	4.70333	
1413	4.70667	
1414	4.71000	
1415	4.71333	
1416	4.71667	
1417	4.72000	
1418	4.72333	
1419	4.72667	
1420	4.73000	
1421	4.73333	
1422	4.73667	
1423	4.74000	
1424	4.74333	
1425	4.74667	
1426	4.75000	
1427	4.75333	
1428	4.75667	
1429	4.76000	
1430	4.76333	
1431	4.76667	
1432	4.77000	
1433	4.77333	
1434	4.77667	
1435	4.78000	
1436	4.78333	
1437	4.78667	
1438	4.79000	
1439	4.79333	
1440	4.79667	
1441	4.80000	
1442	4.80333	
1443	4.80667	
1444	4.81000	
1445	4.81333	
1446	4.81667	
1447	4.82000	
1448	4.82333	
1449	4.82667	
1450	4.83000	
1451	4.83333	
1452	4.83667	
1453	4.84000	
1454	4.84333	
1455	4.84667	
1456	4.85000	
1457	4.85333	
1458	4.85667	
1459	4.86000	
1460	4.86333	
1461	4.86667	
1462	4.87000	
1463	4.87333	
1464	4.87667	
1465	4.88000	
1466	4.88333	
1467	4.88667	
1468	4.89000	
1469	4.89333	
1470	4.89667	
1471	4.90000	
1472	4.90333	
1473	4.90667	
1474	4.91000	
1475	4.91333	
1476	4.91667	
1477	4.92000	
1478	4.92333	
1479	4.92667	
1480	4.93000	
1481	4.93333	
1482	4.93667	
1483	4.94000	
1484	4.94333	
1485	4.94667	
1486	4.95000	
1487	4.95333	
1488	4.95667	
1489	4.96000	
1490	4.96333	
1491	4.96667	
1492	4.97000	
1493	4.97333	
1494	4.97667	
1495	4.98000	
1496	4.98333	
1497	4.98667	
1498	4.99000	
1499	4.99333	
1500	4.99667	
1501	5.00000	
1502	5.00333	
1503	5.00667	
1504	5.01000	
1505	5.01333	
1506	5.01667	
1507	5.02000	
1508	5.02333	
1509	5.02667	
1510	5.03000	
1511	5.03333	
1512	5.03667	
1513	5.04000	
1514	5.04333	
1515	5.04667	
1516	5.05000	
1517	5.05333	
1518	5.05667	
1519	5.06000	
1520	5.06333	
1521	5.06667	
1522	5.07000	
1523	5.07333	
1524	5.07667	
1525	5.08000	
1526	5.08333	
1527	5.08667	
1528	5.09000	
1529	5.09333	
1530	5.09667	
1531	5.10000	
1532	5.10333	
1533	5.10667	
1534	5.11000	
1535	5.11333	
1536	5.11667	
1537	5.12000	
1538	5.12333	
1539	5.12667	
1540	5.13000	
1541	5.13333	
1542	5.13667	
1543	5.14000	
1544	5.14333	
1545	5.14667	
1546	5.15000	
1547	5.15333	
1548	5.15667	
1549	5.16000	
1550	5.16333	
1551	5.16667	
